num_filters1,num_filters2,dropout_rate,learning_rate,batch_size,optimizer,activation,accuracy
10,10,0.25,0.01,64,SGD,relu,84.97
10,10,0.25,0.01,64,Adam,relu,85.05
10,10,0.25,0.01,128,SGD,relu,81.73
10,10,0.25,0.01,128,Adam,relu,86.6
10,10,0.25,0.05,64,SGD,relu,86.99
10,10,0.25,0.05,64,Adam,relu,10.0
10,10,0.25,0.05,128,SGD,relu,86.66
10,10,0.25,0.05,128,Adam,relu,10.0
10,10,0.25,0.1,64,SGD,relu,87.07
10,10,0.25,0.1,64,Adam,relu,10.0
10,10,0.25,0.1,128,SGD,relu,87.39
10,10,0.25,0.1,128,Adam,relu,10.0
10,10,0.5,0.01,64,SGD,relu,81.23
10,10,0.5,0.01,64,Adam,relu,82.83
10,10,0.5,0.01,128,SGD,relu,78.25
10,10,0.5,0.01,128,Adam,relu,85.03
10,10,0.5,0.05,64,SGD,relu,86.46
10,10,0.5,0.05,64,Adam,relu,10.0
10,10,0.5,0.05,128,SGD,relu,84.75
10,10,0.5,0.05,128,Adam,relu,10.0
10,10,0.5,0.1,64,SGD,relu,86.28
10,10,0.5,0.1,64,Adam,relu,10.0
10,10,0.5,0.1,128,SGD,relu,87.04
10,10,0.5,0.1,128,Adam,relu,10.0
10,10,0.75,0.01,64,SGD,relu,79.92
10,10,0.75,0.01,64,Adam,relu,78.72
10,10,0.75,0.01,128,SGD,relu,75.05
10,10,0.75,0.01,128,Adam,relu,81.09
10,10,0.75,0.05,64,SGD,relu,82.15
10,10,0.75,0.05,64,Adam,relu,10.0
10,10,0.75,0.05,128,SGD,relu,79.97
10,10,0.75,0.05,128,Adam,relu,10.0
10,10,0.75,0.1,64,SGD,relu,81.83
10,10,0.75,0.1,64,Adam,relu,10.0
10,10,0.75,0.1,128,SGD,relu,80.94
10,10,0.75,0.1,128,Adam,relu,10.0
10,20,0.25,0.01,64,SGD,relu,85.65
10,20,0.25,0.01,64,Adam,relu,85.88
10,20,0.25,0.01,128,SGD,relu,83.12
10,20,0.25,0.01,128,Adam,relu,86.84
10,20,0.25,0.05,64,SGD,relu,88.22
10,20,0.25,0.05,64,Adam,relu,10.0
10,20,0.25,0.05,128,SGD,relu,87.27
10,20,0.25,0.05,128,Adam,relu,57.33
10,20,0.25,0.1,64,SGD,relu,88.49
10,20,0.25,0.1,64,Adam,relu,10.0
10,20,0.25,0.1,128,SGD,relu,88.21
10,20,0.25,0.1,128,Adam,relu,10.0
10,20,0.5,0.01,64,SGD,relu,84.49
10,20,0.5,0.01,64,Adam,relu,84.86
10,20,0.5,0.01,128,SGD,relu,80.82
10,20,0.5,0.01,128,Adam,relu,85.24
10,20,0.5,0.05,64,SGD,relu,87.94
10,20,0.5,0.05,64,Adam,relu,10.0
10,20,0.5,0.05,128,SGD,relu,86.59
10,20,0.5,0.05,128,Adam,relu,10.0
10,20,0.5,0.1,64,SGD,relu,88.26
10,20,0.5,0.1,64,Adam,relu,10.0
10,20,0.5,0.1,128,SGD,relu,86.62
10,20,0.5,0.1,128,Adam,relu,10.0
10,20,0.75,0.01,64,SGD,relu,81.71
10,20,0.75,0.01,64,Adam,relu,82.39
10,20,0.75,0.01,128,SGD,relu,78.75
10,20,0.75,0.01,128,Adam,relu,84.03
