Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 84.97%, Time: 19.93s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.05%, Time: 20.36s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 81.73%, Time: 16.65s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.60%, Time: 17.19s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.99%, Time: 19.16s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 19.94s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.66%, Time: 18.01s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 18.00s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.07%, Time: 20.22s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 20.64s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.39%, Time: 18.31s
Experiment: Filters1=10, Filters2=10, Dropout=0.25, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 18.55s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 81.23%, Time: 20.45s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 82.83%, Time: 20.47s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 78.25%, Time: 17.18s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.03%, Time: 18.18s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.46%, Time: 21.24s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.62s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 84.75%, Time: 18.59s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 18.63s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.28%, Time: 20.63s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 21.39s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.04%, Time: 18.32s
Experiment: Filters1=10, Filters2=10, Dropout=0.5, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 17.57s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 79.92%, Time: 19.26s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 78.72%, Time: 19.98s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 75.05%, Time: 18.34s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 81.09%, Time: 18.45s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 82.15%, Time: 19.36s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.17s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 79.97%, Time: 17.76s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 18.69s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 81.83%, Time: 20.47s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.72s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 80.94%, Time: 17.99s
Experiment: Filters1=10, Filters2=10, Dropout=0.75, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 18.88s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.65%, Time: 21.83s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 85.88%, Time: 21.68s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 83.12%, Time: 18.94s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.01, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 86.84%, Time: 18.67s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.22%, Time: 21.28s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 23.18s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 87.27%, Time: 18.68s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.05, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 57.33%, Time: 19.68s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.49%, Time: 21.11s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=64, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 22.88s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=128, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 88.21%, Time: 19.28s
Experiment: Filters1=10, Filters2=20, Dropout=0.25, LR=0.1, BatchSize=128, Optimizer=Adam, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 10.00%, Time: 20.47s
Experiment: Filters1=10, Filters2=20, Dropout=0.5, LR=0.01, BatchSize=64, Optimizer=SGD, Kernel1=5, Kernel2=5, Activation=relu, Epochs=5 - Accuracy: 84.49%, Time: 22.57s
